estadio,ano,partidas,vitorias_casa,vitorias_fora,empates
Estádio Nilton Santos,2015,1,0,1,0
Kléber Andrade,2015,1,1,0,0
Estádio Municipal General Raulino de Oliveira,2016,11,4,2,5
Allianz Parque,2016,17,13,1,3
Estádio Raimundo Sampaio,2016,34,18,10,6
 Couto Pereira,2016,18,9,2,7
Estádio do Arruda,2016,17,7,9,1
 Orlando Scarpelli,2016,19,7,3,9
Neo Química Arena,2016,18,10,2,6
Estádio José Pinheiro Borda,2016,19,9,5,5
 Moisés Lucarelli,2016,19,13,4,2
 Mineirão,2016,22,9,6,7
Estádio Urbano Caldeira,2016,15,12,2,1
Estádio Joaquim Américo Guimarães,2016,18,14,1,3
 Barradão,2016,15,6,6,3
Arena Condá,2016,18,8,4,6
 Morumbi,2016,17,8,4,5
Arena do Grêmio,2016,19,11,4,4
Adelmar da Costa Carvalho,2016,17,9,4,4
Helenão,2016,4,3,0,1
Itaipava Arena Fonte Nova,2016,3,1,1,1
Vila Capanema,2016,2,1,1,0
Estádio Nacional de Brasília,2016,7,3,3,1
Estádio Municipal Paulo Machado de Carvalho,2016,9,7,1,1
Kléber Andrade,2016,7,6,1,0
Arena das Dunas,2016,1,0,1,0
Luso-Brasileiro,2016,11,6,2,3
Estádio Giulite Coutinho,2016,8,5,2,1
Estádio Alberto Oliveira,2016,1,1,0,0
Arena Pantanal,2016,2,0,1,1
Arena de Pernambuco,2016,3,1,0,2
  Estádio do Café,2016,1,0,1,0
Estádio Doutor Adhemar de Barros,2016,1,0,0,1
 Maracanã,2016,6,1,0,5
 Maracanã,2017,23,8,6,9
Neo Química Arena,2017,19,12,2,5
 Mineirão,2017,20,9,4,7
 Moisés Lucarelli,2017,19,9,7,3
  Ressacada,2017,19,5,5,9
Itaipava Arena Fonte Nova,2017,20,10,7,3
Allianz Parque,2017,15,9,4,2
Arena do Grêmio,2017,18,10,5,3
 Couto Pereira,2017,18,7,7,4
Estádio Urbano Caldeira,2017,13,9,3,1
Estádio do Governo do Estado de Goiás (Serra Dourada),2017,4,0,4,0
Arena Condá,2017,19,9,7,3
Estádio Vasco da Gama,2017,12,7,2,3
Estádio Joaquim Américo Guimarães,2017,19,8,6,5
Estádio Raimundo Sampaio,2017,18,7,7,4
Estádio Nilton Santos,2017,20,9,7,4
Adelmar da Costa Carvalho,2017,17,6,4,7
 Morumbi,2017,14,6,2,6
Estádio Municipal General Raulino de Oliveira,2017,4,0,2,2
Estádio Municipal Paulo Machado de Carvalho,2017,15,9,0,6
Estádio Olímpico Pedro Ludovico Teixeira,2017,15,4,6,5
 Barradão,2017,17,3,9,5
Luso-Brasileiro,2017,15,10,3,2
Vila Capanema,2017,1,0,0,1
Estádio Giulite Coutinho,2017,2,0,0,2
Arena de Pernambuco,2017,2,1,1,0
Estádio de Pituaçu,2017,1,0,0,1
 Alfredo Jaconi,2017,1,0,0,1
 Mineirão,2018,18,10,4,4
 Barradão,2018,19,7,7,5
Estádio Municipal Paulo Machado de Carvalho,2018,11,6,2,3
Estádio Raimundo Sampaio,2018,39,21,7,11
Estádio Vasco da Gama,2018,16,9,3,4
Estádio José Pinheiro Borda,2018,19,14,1,4
Neo Química Arena,2018,19,9,2,8
Estádio Joaquim Américo Guimarães,2018,19,14,3,2
 Morumbi,2018,19,10,1,8
Estádio Nilton Santos,2018,21,11,3,7
Itaipava Arena Fonte Nova,2018,17,9,2,6
 Maracanã,2018,36,22,7,7
Vila Capanema,2018,18,3,6,9
Arena Castelão,2018,14,5,3,6
Arena Condá,2018,19,10,4,5
Arena do Grêmio,2018,19,12,2,5
Adelmar da Costa Carvalho,2018,18,8,5,5
Allianz Parque,2018,15,12,1,2
Estádio Urbano Caldeira,2018,12,7,2,3
Arena de Pernambuco,2018,1,0,0,1
Estádio Nacional de Brasília,2018,3,0,2,1
