estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Maracanã,2010,Vasco,2,0,0,2
Parque do Sabiá,2010,Cruzeiro,5,3,2,0
Pacaembu,2010,Santos,2,1,1,0
Engenhão,2010,Fluminense,9,5,2,2
Raulino de Oliveira,2010,Flamengo,4,1,2,1
Engenhão,2010,Flamengo,5,2,1,2
Engenhão,2010,Vasco,2,0,0,2
Arena Barueri,2010,Santos,1,1,0,0
Raulino de Oliveira,2010,Fluminense,1,1,0,0
Arena Barueri,2010,Sao Paulo,3,2,1,0
Fonte Luminosa,2010,Palmeiras,1,0,1,0
Arena do Jacaré,2011,Atletico-MG,16,10,3,3
Cláudio Moacyr,2011,Flamengo,4,2,1,1
Presidente Vargas,2011,Ceara,19,7,7,5
Vila Belmiro,2011,Santos,15,7,4,4
Teixeirão,2011,Palmeiras,1,1,0,0
Olímpico,2011,Gremio,19,9,4,6
Couto Pereira,2011,Coritiba,19,13,2,4
Orlando Scarpelli,2011,Figueirense,19,8,5,6
São Januário,2011,Fluminense,1,0,1,0
Arena do Jacaré,2011,America-MG,15,5,3,7
Beira Rio,2011,Internacional,19,10,3,6
Engenhão,2011,Botafogo-RJ,16,11,2,3
Ressacada,2011,Avai,19,4,8,7
Morumbi,2011,Sao Paulo,17,8,4,5
Fonte Luminosa,2011,Corinthians,1,1,0,0
Pituaçu,2011,Bahia,19,7,5,7
Arena da Baixada,2011,Athletico-PR,19,8,3,8
Arena do Jacaré,2011,Cruzeiro,15,6,4,5
São Januário,2011,Vasco,16,10,1,5
Serra Dourada,2011,Atletico-GO,19,9,7,3
Canindé,2011,Palmeiras,10,5,2,3
Engenhão,2011,Fluminense,17,11,6,0
Engenhão,2011,Flamengo,15,7,2,6
Morenão,2011,America-MG,1,0,1,0
Pacaembu,2011,Corinthians,18,12,4,2
Pacaembu,2011,Santos,4,3,0,1
Pacaembu,2011,Palmeiras,6,2,1,3
São Januário,2011,Botafogo-RJ,2,0,1,1
Raulino de Oliveira,2011,Fluminense,1,1,0,0
Ipatingão,2011,Atletico-MG,3,0,3,0
Parque do Sabiá,2011,Cruzeiro,3,2,1,0
Engenhão,2011,Vasco,3,1,0,2
Prudentão,2011,Palmeiras,1,1,0,0
Ipatingão,2011,Cruzeiro,1,0,1,0
Parque do Sabiá,2011,America-MG,3,2,1,0
Arena Barueri,2011,Sao Paulo,1,0,0,1
Arena Barueri,2011,Palmeiras,1,0,1,0
Romildo Ferreira,2011,Sao Paulo,1,1,0,0
Raulino de Oliveira,2011,Botafogo-RJ,1,0,0,1
Pacaembu,2012,Palmeiras,8,2,4,2
Ilha do Retiro,2012,Sport,19,7,6,6
Orlando Scarpelli,2012,Figueirense,19,5,8,6
Pacaembu,2012,Corinthians,19,10,3,6
Beira Rio,2012,Internacional,19,9,6,4
Engenhão,2012,Botafogo-RJ,19,9,6,4
Moisés Lucarelli,2012,Ponte Preta,19,9,3,7
Parque do Sabiá,2012,Cruzeiro,1,0,0,1
Pituaçu,2012,Bahia,19,5,5,9
São Januário,2012,Vasco,17,8,6,3
Serra Dourada,2012,Atletico-GO,17,4,10,3
Engenhão,2012,Flamengo,14,6,2,6
Canindé,2012,Portuguesa,19,7,4,8
Aflitos,2012,Nautico,19,13,3,3
Morumbi,2012,Sao Paulo,18,14,2,2
Independência,2012,Atletico-MG,19,14,0,5
Couto Pereira,2012,Coritiba,19,11,6,2
Vila Belmiro,2012,Santos,17,8,1,8
Olímpico,2012,Gremio,19,13,2,4
Engenhão,2012,Fluminense,14,7,2,5
Melão,2012,Cruzeiro,3,2,0,1
Independência,2012,Cruzeiro,15,7,5,3
Arena Barueri,2012,Palmeiras,7,3,2,2
Engenhão,2012,Vasco,2,1,0,1
São Januário,2012,Fluminense,2,2,0,0
Pacaembu,2012,Santos,2,0,1,1
Raulino de Oliveira,2012,Flamengo,5,2,1,2
Raulino de Oliveira,2012,Fluminense,3,2,1,0
Fonte Luminosa,2012,Palmeiras,3,1,1,1
Boca do Jacaré,2012,Atletico-GO,1,0,1,0
Bezerrão,2012,Atletico-GO,1,1,0,0
Prudentão,2012,Palmeiras,1,0,1,0
Pacaembu,2012,Sao Paulo,1,1,0,0
Fonte Nova,2013,Vitoria,3,1,0,2
São Januário,2013,Vasco,7,2,3,2
Pacaembu,2013,Corinthians,14,5,2,7
Alfredo Jaconi,2013,Gremio,1,1,0,0
Heriberto Hulse,2013,Criciuma,19,8,7,4
Moisés Lucarelli,2013,Ponte Preta,19,6,9,4
Mané Garrincha,2013,Santos,1,0,0,1
Couto Pereira,2013,Coritiba,19,10,4,5
Independência,2013,Cruzeiro,1,1,0,0
Moacyrzão,2013,Fluminense,4,3,1,0
Vila Olímpica,2013,Athletico-PR,1,0,0,1
Raulino de Oliveira,2013,Botafogo-RJ,2,2,0,0
Morumbi,2013,Sao Paulo,17,7,7,3
Juiz de Fora,2013,Flamengo,1,0,1,0
Pituaçu,2013,Bahia,1,0,0,1
Aflitos,2013,Nautico,2,0,1,1
Serra Dourada,2013,Goias,19,10,3,6
Centenário (RS),2013,Internacional,11,6,2,3
Arena Joinville,2013,Athletico-PR,3,2,0,1
Vila Belmiro,2013,Santos,14,6,2,6
Barradão,2013,Vitoria,15,9,2,4
Independência,2013,Atletico-MG,18,12,1,5
Canindé,2013,Portuguesa,17,8,3,6
Raulino de Oliveira,2013,Vasco,2,1,0,1
Arena do Grêmio,2013,Gremio,18,11,3,4
Orlando Scarpelli,2013,Flamengo,1,0,1,0
Batistão,2013,Bahia,1,1,0,0
Arena do Jacaré,2013,Cruzeiro,2,1,0,1
Arena do Jacaré,2013,Atletico-MG,1,1,0,0
Jóia da Princesa,2013,Vitoria,1,1,0,0
Vila Capanema,2013,Athletico-PR,15,11,1,3
Mané Garrincha,2013,Flamengo,6,1,1,4
Arena Pernambuco,2013,Nautico,17,3,12,2
Fonte Nova,2013,Bahia,17,6,5,6
